,start,end,code,label.0,label.1,label.2,label.3,label.4,label.5,label.6,label.7,label.8,label.9,label.10,label.11,label.12,label.13,label.14,label.15,label.16,label.17,label.18,label.19,label.20,label.21,label.22,label.23,label.24,label.25,label.26,label.27,label.28,label.29,label.30,label.31,label.32,label.33,label.34,label.35,label.36,label.37,label.38,label.39,label.40,label.41,label.42,label.43,label.44,label.45,label.46,label.47,label.48,label.49,label.50,label.51,label.52,label.53,label.54,label.55,label.56,label.57,label.58,label.59,label.60,label.61,label.62,label.63,label.64,label.65,label.66,label.67,label.68,label.69,label.70,label.71
1,4.311042897,40.9711876731,TEG,"['Naar zone', 'M2 TEG']","['Naar zone', 'L2 TEG']","['Naar zone', 'M1 TEG']","['Storen NEC', 'Compact']","['Storen NEC', 'Druk']","['Naar zone', 'R1 TEG']","['Naar zone', 'R2 TEG']","['Naar zone', 'M1 TEG']","['Naar zone', 'R1 TEG']","['Aanvallen TEG', 'Lange pass']","['Rendement', 'Balwinst']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6.2150178417,15.1347948447,M2 TEG,"['Naar zone', 'L2 TEG']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6.311042897,40.9711876731,Start Jaimy,"['Naar zone', 'M2 TEG']","['Naar zone', 'L2 TEG']","['Naar zone', 'M1 TEG']","['Storen NEC', 'Compact']","['Storen NEC', 'Druk']","['Naar zone', 'R1 TEG']","['Naar zone', 'R2 TEG']","['Naar zone', 'M1 TEG']","['Naar zone', 'R1 TEG']","['Aanvallen TEG', 'Lange pass']","['Rendement', 'Balwinst']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6.311042897,40.9711876731,Verdedigen,"['Naar zone', 'M2 TEG']","['Naar zone', 'L2 TEG']","['Naar zone', 'M1 TEG']","['Storen NEC', 'Compact']","['Storen NEC', 'Druk']","['Naar zone', 'R1 TEG']","['Naar zone', 'R2 TEG']","['Naar zone', 'M1 TEG']","['Naar zone', 'R1 TEG']","['Aanvallen TEG', 'Lange pass']","['Rendement', 'Balwinst']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8.22,14.04,AFTRAP WB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12.1347948447,21.975014850900003,L2 TEG,"['Naar zone', 'M1 TEG']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,18.9750148509,26.2629141727,M1 TEG,"['Storen NEC', 'Compact']","['Storen NEC', 'Druk']","['Naar zone', 'R1 TEG']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20.4471341203,40.9711876731,VERD. Compact NEC,"['Storen NEC', 'Compact']","['Storen NEC', 'Druk']","['Naar zone', 'R1 TEG']","['Naar zone', 'R2 TEG']","['Naar zone', 'M1 TEG']","['Naar zone', 'R1 TEG']","['Aanvallen TEG', 'Lange pass']","['Rendement', 'Balwinst']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20.4471341203,40.9711876731,VERD. Druk NEC,"['Storen NEC', 'Compact']","['Storen NEC', 'Druk']","['Naar zone', 'R1 TEG']","['Naar zone', 'R2 TEG']","['Naar zone', 'M1 TEG']","['Naar zone', 'R1 TEG']","['Aanvallen TEG', 'Lange pass']","['Rendement', 'Balwinst']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,23.2629141727,30.9632140377,R1 TEG,"['Naar zone', 'R2 TEG']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
