,start,end,x,y,bezit,code
0,21.5432956698,28.2807977534,2,2, TEG,Nothing
1,25.2807977534,34.6808179535,2,1, TEG,Nothing
2,31.6808179535,37.5765464838,3,2, TEG,Nothing
3,37.6545020716,42.790503522399995,2,1,NEC,Nothing
4,39.790503522399995,46.6942520572,1,2,NEC,Nothing
5,43.6942520572,51.1814466316,2,2,NEC,Nothing
6,48.1814466316,57.125179088500005,1,2,NEC,Nothing
7,54.125179088500005,59.7787287603,2,2,NEC,Nothing
8,56.7787287603,64.9385025373,3,2,NEC,Nothing
9,62.794452345799996,71.55203431460001,1,1, TEG,Nothing
10,69.3839373615,74.5679416304,3,3,NEC,Nothing
11,71.5679416304,75.0879289,2,3,NEC,Nothing
12,72.5199665833,77.653452424,2,2, TEG,Nothing
13,75.66937167319999,83.1331768923,2,2,NEC,Nothing
14,80.1331768923,87.3890083058,1,2,NEC,Nothing
15,84.3890083058,94.5704022635,2,2,NEC,Nothing
16,91.5704022635,98.1224267626,3,3,NEC,Nothing
17,96.0479369602,102.7679515367,1,3, TEG,Nothing
18,99.7679515367,107.81570829430001,1,4, TEG,Nothing
19,104.81570829430001,111.8933247376,2,4, TEG,Nothing
20,122.060904702,135.6524730434,1,4, TEG,Nothing
21,132.6524730434,143.8141746409,2,4, TEG,Nothing
22,157.3734751391,167.9012150773,3,4, TEG,Nothing
23,164.9012150773,169.67102144860002,2,4, TEG,Nothing
24,167.5670155878,180.76952568419998,3,2,NEC,Nothing
25,180.7695264842,192.0668067736,3,2,NEC,Nothing
26,189.0668067736,195.5068501289,2,1,NEC,Nothing
27,192.5068501289,199.7305942316,1,2,NEC,Nothing
28,196.7305942316,213.65600772349998,2,2,NEC,Nothing
29,211.0690256659,221.6609590716,3,2, TEG,Nothing
30,222.5860203812,228.2979205629,3,2, TEG,Nothing
31,225.2979205629,243.897216623,2,2, TEG,Nothing
32,240.897216623,249.39695617540002,3,2, TEG,Nothing
33,246.39695617540002,255.8287065613,3,3, TEG,Nothing
34,252.8287065613,264.8341878081,3,4, TEG,Nothing
35,261.8341878081,268.9834108543,2,4, TEG,Nothing
36,265.9834108543,271.5513381771,1,4, TEG,Nothing
37,268.5513381771,277.6470975172,2,3, TEG,Nothing
38,275.445078192,279.0931046864,2,1,NEC,Nothing
39,276.0931046864,280.86896915619997,3,1,NEC,Nothing
40,301.03095151419996,307.4308909816,2,1,NEC,Nothing
41,304.4308909816,314.45364501209997,1,2,NEC,Nothing
42,311.45364501209997,326.51453171279996,2,2,NEC,Nothing
43,323.51453171279996,334.6183108412,3,2,NEC,Nothing
44,331.6183108412,340.8560689642,3,3,NEC,Nothing
45,337.8560689642,342.38396092930003,2,2,NEC,Nothing
46,339.38396092930003,346.9918464618,1,3,NEC,Nothing
47,344.46803164669996,352.42802256410005,3,2, TEG,Nothing
48,349.42802256410005,360.28361693010004,2,1, TEG,Nothing
49,357.61952827,362.52998001910004,2,2,NEC,Nothing
50,359.52998001910004,366.001837105,2,3,NEC,Nothing
51,363.3938413139,367.4818448846,2,2, TEG,Nothing
52,364.4818448846,371.68178533080004,1,2, TEG,Nothing
53,368.68178533080004,372.83898843739996,2,2, TEG,Nothing
54,369.83898843739996,377.2227788622,2,3, TEG,Nothing
55,375.206753298,378.96667786410006,2,2,NEC,Nothing
56,375.96667786410006,388.83552683989996,1,2,NEC,Nothing
57,385.83552683989996,395.107190118,2,2,NEC,Nothing
58,392.107190118,400.25709611,3,2,NEC,Nothing
59,397.25709611,401.52105396480005,3,3,NEC,Nothing
60,398.52105396480005,403.1850637407,3,4,NEC,Nothing
61,400.1850637407,411.1503762131,2,4,NEC,Nothing
62,421.76354559239996,443.5787050313,2,1, TEG,Nothing
63,440.9466511608,446.3185942911,2,2,NEC,Nothing
64,443.3185942911,447.4625589226,2,3,NEC,Nothing
65,445.2305991606,451.0145057929,1,2, TEG,Nothing
66,448.0145057929,457.2301271902,2,2, TEG,Nothing
67,454.2301271902,461.6462346818,3,2, TEG,Nothing
68,458.6462346818,463.6862303172,2,2, TEG,Nothing
69,460.6862303172,465.0782913897,2,3, TEG,Nothing
70,462.0782913897,468.70994741519996,1,3, TEG,Nothing
71,465.70994741519996,488.1012564606,2,3, TEG,Nothing
72,485.4763305258,489.6523024364,2,1,NEC,Nothing
73,486.6523024364,493.69220393050006,1,2,NEC,Nothing
74,490.69220393050006,499.66798197279996,1,3,NEC,Nothing
75,497.36259003550003,505.8742154985,3,2, TEG,Nothing
76,502.8742154985,509.0092537174,2,2, TEG,Nothing
77,508.1921532211,511.7602800845,2,1, TEG,Nothing
78,509.0092545174,514.3920823106,2,2, TEG,Nothing
79,511.39208231059996,518.2306808782,1,2, TEG,Nothing
80,515.9678081685,520.4935543878,1,3, TEG,Nothing
81,518.2306816782,523.7575876863,1,2, TEG,Nothing
82,520.7575876863,528.2694500491,2,2, TEG,Nothing
83,526.1252746353,534.2036104004,2,2,NEC,Nothing
84,531.2036104004,538.6274954197,1,2,NEC,Nothing
85,535.6274954197,546.6573818249,2,2,NEC,Nothing
86,543.6573818249,556.2409718124,3,2,NEC,Nothing
87,553.2409718124,559.453687914,3,4,NEC,Nothing
88,575.3809137658001,591.772402454,1,1, TEG,Nothing
89,588.772402454,602.8770772207,2,3, TEG,Nothing
90,600.2928004172,608.2822571126001,2,1,NEC,Nothing
91,605.2822571126001,611.4661609656,1,1,NEC,Nothing
92,608.4661609656,614.8155879593,1,2,NEC,Nothing
93,611.8155879593,619.6395837699,2,2,NEC,Nothing
94,616.6395837699,623.3194467515,1,2,NEC,Nothing
95,620.7675549983,626.9971110248999,3,2, TEG,Nothing
96,624.7090142332,630.5407656829,1,2,NEC,Nothing
97,627.5407656829,634.9406991330001,1,3,NEC,Nothing
98,631.9406991330001,635.5863589664,2,3,NEC,Nothing
99,633.9943293443,645.3139899674,2,2, TEG,Nothing
100,642.3139899674,649.255585378,3,3, TEG,Nothing
101,646.255585378,652.087490636,3,2, TEG,Nothing
102,649.087490636,655.5433977557,2,2, TEG,Nothing
103,652.5433977557,658.1332810251,1,3, TEG,Nothing
104,655.1332810251,661.6931123498999,2,3, TEG,Nothing
105,662.1571376486,670.7889041923,2,1,NEC,Nothing
106,667.7889041923,676.2105411133,1,1,NEC,Nothing
107,673.2105411133,682.6503554586,2,2,NEC,Nothing
108,679.6503554586,691.5993129934,3,2,NEC,Nothing
109,689.3412891789999,696.2690237867,2,1, TEG,Nothing
110,693.2690237867,707.3886940268,2,2, TEG,Nothing
111,704.3886940268,709.801016528,2,1, TEG,Nothing
112,709.8010173280001,720.5446340842,2,1, TEG,Nothing
113,717.5446340842,721.1016425316001,1,3, TEG,Nothing
114,719.661723851,723.3015250432001,3,2,NEC,Nothing
115,720.3015250432001,725.5494488224001,2,1,NEC,Nothing
116,724.2134065598,732.509222789,1,2,NEC,Nothing
117,729.509222789,736.144819044,2,2,NEC,Nothing
118,733.144819044,741.7045503779,1,2,NEC,Nothing
119,738.7045503779,746.5435636717,2,1,NEC,Nothing
120,743.5435636717,748.367597899,1,2,NEC,Nothing
121,745.367597899,755.5031655452001,2,2,NEC,Nothing
122,753.4127310358,758.1005622319,3,1, TEG,Nothing
123,760.1243479744,778.3156876026,1,4,NEC,Nothing
124,775.3156876026,780.415067225,2,4,NEC,Nothing
125,782.1030194946001,787.7988045905,2,1,NEC,Nothing
126,784.7988045905,793.148362528,1,2,NEC,Nothing
127,790.148362528,804.5466440721001,2,2,NEC,Nothing
128,801.5466440721001,806.8824555475,3,2,NEC,Nothing
129,803.8824555475,817.5436689217,3,3,NEC,Nothing
130,823.5114580157001,832.0471102852,2,1, TEG,Nothing
131,829.0471102852,836.9382563885,1,3, TEG,Nothing
132,833.9382563885,843.400609213,2,3, TEG,Nothing
133,840.4898994139,846.3113198121001,3,3, TEG,Nothing
134,843.400610013,850.2232311738001,2,3, TEG,Nothing
135,847.9831733014,855.0526110294,2,2,NEC,Nothing
136,852.0526110294,856.9244959238,2,3,NEC,Nothing
137,853.9244959238,864.7082136169,3,3,NEC,Nothing
138,861.7082136169,868.7922724369,3,4,NEC,Nothing
139,865.7922724369,878.8789267573,2,4,NEC,Nothing
140,882.5585520358001,896.3426022056,2,1, TEG,Nothing
141,893.3426022056,897.5217841780001,2,3, TEG,Nothing
142,895.6257595349,901.2415662431,2,2,NEC,Nothing
143,899.2496151797,903.2335181064,3,2,NEC,Nothing
144,901.2415670431,907.0389558436999,2,2,NEC,Nothing
145,904.0389558436999,911.4707601458999,1,2,NEC,Nothing
146,909.6226545063,918.5983578713001,3,2, TEG,Nothing
147,915.5983578713001,925.6638272444001,2,2, TEG,Nothing
148,922.7399362482,928.5877190406,3,2, TEG,Nothing
149,925.6638280444,929.0029178625999,2,2, TEG,Nothing
150,929.1628740210001,932.5268023512,2,2, TEG,Nothing
151,929.9068675605,935.146737942,1,2, TEG,Nothing
152,932.5268031511999,942.8985728067,2,2, TEG,Nothing
153,939.8985728067,949.8551877133999,3,2, TEG,Nothing
154,946.8551877133999,955.6791372734,2,2, TEG,Nothing
155,953.5163667369001,958.0844175789,2,3,NEC,Nothing
156,955.0844175789,971.5934495691,1,3,NEC,Nothing
157,968.5934495691,976.9613190003,2,2,NEC,Nothing
158,973.9613190003,986.6546871306,3,3,NEC,Nothing
159,983.6546871306,989.6683042952001,2,2,NEC,Nothing
160,986.6683042952001,997.2976651413001,1,3,NEC,Nothing
161,994.2976651413001,1000.2416139776,1,4,NEC,Nothing
162,997.2416139776,1008.1614208856,2,4,NEC,Nothing
163,1005.7336932556,1009.7496231719,2,1, TEG,Nothing
164,1006.7496231719,1015.0773887736,3,2, TEG,Nothing
165,1027.4769031655999,1038.4364729183999,2,2, TEG,Nothing
166,1035.4364729183999,1044.2713037743,2,1, TEG,Nothing
167,1041.2713037743,1047.879039192,3,3, TEG,Nothing
168,1054.9720921316,1071.5123192077,1,2,NEC,Nothing
169,1068.5123192077,1075.7602209299,2,2,NEC,Nothing
170,1072.7602209299,1076.5121734184,3,2,NEC,Nothing
171,1073.5121734184,1083.1181687864,3,3,NEC,Nothing
172,1080.1181687864,1088.7819967524001,2,3,NEC,Nothing
173,1085.7819967524001,1100.7232380524001,1,3,NEC,Nothing
174,1097.7232380524001,1104.8566157123,2,2,NEC,Nothing
175,1101.8566157123,1106.0564438964,2,3,NEC,Nothing
176,1103.0564438964,1109.9922460131,3,3,NEC,Nothing
177,1106.9922460131,1120.1257482371,2,2,NEC,Nothing
178,1117.1257482371,1124.13925305,2,3,NEC,Nothing
179,1131.9427974441,1135.3106469778,2,2, TEG,Nothing
180,1132.3106469778,1144.1822646594,2,1, TEG,Nothing
181,1141.1822646594,1147.2132251288,1,3, TEG,Nothing
182,1145.0533821136,1151.5010931049,3,2,NEC,Nothing
183,1148.5010931049,1154.1809954614,2,3,NEC,Nothing
184,1151.6105424136001,1156.634593253,2,2, TEG,Nothing
185,1153.634593253,1157.6425114852,1,3, TEG,Nothing
186,1154.6425114852,1161.4664465964,1,2, TEG,Nothing
187,1158.4664465964,1171.6018754334,2,2, TEG,Nothing
188,1169.7743784994,1185.7005717641,2,1, TEG,Nothing
189,1182.7005717641,1188.4204196661,2,3, TEG,Nothing
190,1187.7641884538,1192.1322339650999,2,1,NEC,Nothing
191,1189.1322339650999,1195.7458524566,1,2,NEC,Nothing
192,1192.7458524566,1200.1535300668,2,2,NEC,Nothing
193,1197.1535300668,1202.9294382239,3,2,NEC,Nothing
194,1199.9294382239,1207.3052025188001,3,3,NEC,Nothing
195,1204.3052025188001,1209.5669454238,3,4,NEC,Nothing
196,1206.5669454238,1213.2468726368,2,4,NEC,Nothing
197,1210.8468846936998,1221.2280680315,3,1, TEG,Nothing
198,1218.7959629591,1226.4837997926,2,2,NEC,Nothing
199,1223.4837997926,1229.3717694589,3,4,NEC,Nothing
200,1226.3717694589,1233.176964325,2,4,NEC,Nothing
201,1248.131467384,1255.6192765964,3,4,NEC,Nothing
202,1252.6192765964,1263.0509086974,2,4,NEC,Nothing
203,1272.8634810864,1286.8871792257,2,1, TEG,Nothing
204,1283.8871792257,1288.0743738662,2,3, TEG,Nothing
205,1285.9542478527999,1291.4100496602,2,2,NEC,Nothing
206,1289.4341038824,1293.5019941963,3,2, TEG,Nothing
207,1292.0341510794,1295.4978855422,1,3,NEC,Nothing
208,1293.5019949963,1298.631323202,3,2, TEG,Nothing
209,1295.631323202,1298.9832325928,2,2, TEG,Nothing
210,1298.9832333928,1305.791172668,2,2, TEG,Nothing
211,1302.791172668,1308.911017605,1,2, TEG,Nothing
212,1305.911017605,1321.0118396397,2,1, TEG,Nothing
213,1318.0118396397,1324.7147608793,3,2, TEG,Nothing
214,1321.7147608793,1326.7465829369,3,1, TEG,Nothing
215,1323.7465829369,1332.7304168297999,2,1, TEG,Nothing
216,1330.7597624869,1334.6637714243,2,2,NEC,Nothing
217,1331.6637714243,1339.0636698638,2,3,NEC,Nothing
218,1336.4315289571,1341.1675212825999,1,2, TEG,Nothing
219,1338.1675212825999,1346.3434635941,1,3, TEG,Nothing
220,1347.8281058648,1352.3959057603,1,3, TEG,Nothing
221,1349.3959057603,1358.7237750903998,1,2, TEG,Nothing
222,1355.7237750903998,1363.3612039083,2,2, TEG,Nothing
223,1360.3612039083,1364.4091333515,3,2, TEG,Nothing
224,1361.4091333515,1365.9209575906,3,3, TEG,Nothing
225,1362.9209575906,1367.8328817477,2,3, TEG,Nothing
226,1365.7289746984,1373.6457357089,2,2,NEC,Nothing
227,1370.6457357089,1377.1176516514001,2,1,NEC,Nothing
228,1374.1176516514,1380.2216684413002,1,1,NEC,Nothing
229,1377.2216684413002,1386.7069318975,1,2,NEC,Nothing
230,1384.1148958298002,1387.9551163713,3,1, TEG,Nothing
231,1384.9551163713,1390.2696129294,2,1, TEG,Nothing
232,1390.2696137294001,1396.0243384310002,2,1, TEG,Nothing
233,1393.0243384310002,1398.7521980989002,2,2, TEG,Nothing
234,1395.7521980989002,1401.9282106675,1,2, TEG,Nothing
