,start,end,x,y,bezit,code
0,11.0468346428,18.2224774391,2,2,NEC,Nothing
1,15.2224774391,25.5262705152,1,3,NEC,Nothing
2,26.4840105919,36.5557660846,1,3,NEC,Nothing
3,33.9715375678,43.513543758199994,3,2, TEG,Nothing
4,40.5135437582,51.227930207600004,3,3, TEG,Nothing
5,49.3904229022,53.5903901992,1,2,NEC,Nothing
6,51.2279310076,54.6305406254,3,3, TEG,Nothing
7,51.6305406254,59.414429920299995,2,3, TEG,Nothing
8,56.846255688199996,62.5002569752,2,2,NEC,Nothing
9,59.5002569752,68.2522171993,1,2,NEC,Nothing
10,65.2522171993,69.56405152010001,2,3,NEC,Nothing
11,67.16405670340001,75.5140524479,2,3, TEG,Nothing
12,72.906054884,77.0661122825,2,2,NEC,Nothing
13,74.0661122825,84.0640198408,1,2,NEC,Nothing
14,81.9917293452,87.37579922559999,3,3, TEG,Nothing
15,98.8919763536,109.1636268834,1,2,NEC,Nothing
16,106.6916324175,111.8975294769,3,2, TEG,Nothing
17,108.8975294769,115.1694962475,3,3, TEG,Nothing
18,114.8973313235,121.6395559874,2,1,NEC,Nothing
19,118.6395559874,124.06377987489999,2,2,NEC,Nothing
20,121.06377987489999,129.1913839035,1,2,NEC,Nothing
21,126.19138390350001,130.7977958113,2,3,NEC,Nothing
22,127.79779581129999,135.94170527030002,1,3,NEC,Nothing
23,132.94170527030002,141.7573534102,1,4,NEC,Nothing
24,141.2035187139,162.11454857180001,2,1, TEG,Nothing
25,160.2868012607,164.6466925533,2,2,NEC,Nothing
26,161.6466925533,166.5266714615,3,2,NEC,Nothing
27,164.0306619966,169.30263079440002,1,3, TEG,Nothing
28,166.7345955859,180.5321310059,3,2,NEC,Nothing
29,178.51615225220002,183.1462419889,1,2, TEG,Nothing
30,189.2740876701,204.4216962567,3,3,NEC,Nothing
31,201.4216962567,211.16547934,2,4,NEC,Nothing
32,215.17818664060002,231.8894547897,3,4,NEC,Nothing
33,228.8894547897,238.1910866309,3,3,NEC,Nothing
34,235.1910866309,238.5831497012,3,4,NEC,Nothing
35,240.25491833689998,265.8301268206,2,1, TEG,Nothing
36,262.8301268206,267.1924917546,1,3, TEG,Nothing
37,265.1924136887,269.71235304009997,2,2,NEC,Nothing
38,266.71235304009997,277.14413678290003,2,1,NEC,Nothing
39,274.14413678290003,281.2059903218,1,2,NEC,Nothing
40,278.2059903218,282.2381117043,2,2,NEC,Nothing
41,279.2381117043,288.2597644889,3,2,NEC,Nothing
