,start,end,x,y,bezit,code
0,105.20432703280001,117.922104408,2,2, TEG,Nothing
1,120.0984954742,143.7535537507,2,1,NEC,Nothing
2,140.7535537507,154.0820855396,2,3,NEC,Nothing
3,159.93014663350002,170.7219077159,3,4,NEC,Nothing
4,167.7219077159,174.530497516,2,4,NEC,Nothing
5,171.530497516,176.89033536029999,2,3,NEC,Nothing
6,173.89033536029999,181.4742320175,3,4,NEC,Nothing
7,178.4742320175,189.946301705,2,4,NEC,Nothing
8,252.09868421849998,258.7224446786,2,2,NEC,Nothing
9,255.7224446786,262.7143079007,3,2,NEC,Nothing
10,259.7143079007,269.4740617504,2,1,NEC,Nothing
11,266.8899911201,272.9024924175,2,3, TEG,Nothing
12,270.6625200789,275.2704672142,2,2,NEC,Nothing
13,272.2704672142,279.7902231787,3,2,NEC,Nothing
14,276.7902231787,282.3706711277,3,3,NEC,Nothing
15,290.6265891685,299.6023209535,3,3,NEC,Nothing
16,296.6023209535,300.9622977094,3,4,NEC,Nothing
17,305.5305575157,315.6261664048,1,1, TEG,Nothing
18,314.2143258832,319.5423001137,2,3,NEC,Nothing
19,316.5423001137,327.6699450795,2,2,NEC,Nothing
20,326.55435219599997,337.0660864732,2,1, TEG,Nothing
21,334.0660864732,343.9536937924,1,1, TEG,Nothing
22,344.4583860321,350.7702464867,2,2, TEG,Nothing
23,347.7702464867,354.026189145,3,3, TEG,Nothing
24,351.026189145,355.14647198309996,2,2, TEG,Nothing
25,352.14647198309996,363.85803772419996,2,3, TEG,Nothing
26,360.85803772419996,367.42637399269995,2,4, TEG,Nothing
27,367.47421640730005,376.1779158657,2,1,NEC,Nothing
28,373.1779158657,380.37031378370006,1,1,NEC,Nothing
29,377.37031378370006,386.7300288034,2,1,NEC,Nothing
30,383.7300288034,388.9867377467,1,3,NEC,Nothing
31,392.7383524707,407.0182187467,1,2,NEC,Nothing
32,409.7304666353,419.746332711,3,2, TEG,Nothing
33,416.746332711,422.3786331479,3,3, TEG,Nothing
34,421.18663454769995,429.97833585120003,2,1,NEC,Nothing
35,427.8023801439,431.7943896332,3,2, TEG,Nothing
36,428.7943896332,432.674341406,2,2, TEG,Nothing
37,429.674341406,433.6342542633,2,1, TEG,Nothing
38,433.65814410300004,439.02603440160004,2,2, TEG,Nothing
39,436.02603440160004,441.4819088763,1,2, TEG,Nothing
40,438.4819088763,450.92615461919996,2,1, TEG,Nothing
41,447.92615461919996,454.7338669574,2,3, TEG,Nothing
42,451.7338669574,456.53063575870004,3,4, TEG,Nothing
43,456.6584782278,467.70603138800004,3,3, TEG,Nothing
44,464.70603138800004,470.8503639206,3,4, TEG,Nothing
45,467.8503639206,476.682015746,2,4, TEG,Nothing
46,473.682015746,483.9697453513,3,4, TEG,Nothing
47,489.7220455071,500.0576460047,2,1,NEC,Nothing
48,497.0576460047,507.2061131078,1,1,NEC,Nothing
49,505.0221290358,510.66210262199996,3,2, TEG,Nothing
50,507.66210262199996,512.5463064165,3,1, TEG,Nothing
51,509.5463064165,515.6262379016999,2,2, TEG,Nothing
52,512.6262379016999,519.9940161347,1,2, TEG,Nothing
53,516.9940161347,528.4576683647,2,1, TEG,Nothing
54,525.4576683647,529.1224928016001,2,3, TEG,Nothing
55,527.7144654229,532.7143783372001,1,2,NEC,Nothing
56,529.7143783372001,536.0342904024,2,2,NEC,Nothing
57,533.0342904024,541.7222378132,3,2,NEC,Nothing
58,547.9704800858999,553.6621757579001,3,2,NEC,Nothing
59,551.6982366559,555.6261156598999,3,3,NEC,Nothing
60,553.6621765579,560.8024513030999,3,2,NEC,Nothing
61,561.3302184491,572.9939178258,3,2,NEC,Nothing
62,569.9939178258,580.7020161644999,2,2,NEC,Nothing
63,577.7020161644999,586.3178892871,3,2,NEC,Nothing
64,583.3178892871,587.9543952826,3,3,NEC,Nothing
65,592.3620225333999,604.9547332067,1,2, TEG,Nothing
66,601.9547332067,609.0185942037999,1,3, TEG,Nothing
67,607.3944825696,612.8743982395,3,2,NEC,Nothing
68,609.8743982395,615.5942482859,3,3,NEC,Nothing
69,613.178469888,621.0982306553,2,2, TEG,Nothing
70,618.0982306553,624.3300006636,3,3, TEG,Nothing
71,621.3300006636,626.7779356069,3,2, TEG,Nothing
72,626.3383012006,636.4179828742,2,2, TEG,Nothing
73,633.4179828742,642.5625366789,2,1, TEG,Nothing
74,639.5625366789,655.9701165472001,2,3, TEG,Nothing
75,652.9701165472001,659.1059762793,2,4, TEG,Nothing
76,658.6822295265,665.0020977878,2,1,NEC,Nothing
77,662.0020977878,667.7219723043,2,2,NEC,Nothing
78,664.7219723043,673.0985242891,1,3,NEC,Nothing
79,680.0500266337999,688.6497917444,3,2, TEG,Nothing
80,685.6497917444,690.4186881783,2,1, TEG,Nothing
81,687.4186881783,696.3863598414,1,2, TEG,Nothing
82,693.3863598414,698.1382716221001,2,2, TEG,Nothing
