,start,end,x,y,bezit
2,6.2150178417,15.1347948447,2,2, TEG
6,12.1347948447,21.975014850900003,1,2, TEG
7,18.9750148509,26.2629141727,2,1, TEG
10,23.2629141727,30.9632140377,3,1, TEG
11,27.9632140377,34.1470036924,3,2, TEG
12,31.1470036924,36.034930090100005,2,1, TEG
13,33.034930090100005,40.9711876731,3,1, TEG
22,53.16337261020001,66.5153724475,1,3,NEC
28,63.5153724475,70.0591213554,3,2,NEC
31,67.0591213554,75.7309099409,2,3,NEC
37,82.9388936556,90.1872434749,3,4,NEC
41,90.1872442749,100.9071636801,3,4,NEC
51,99.17098128709999,104.6109491894,1,1, TEG
52,101.6109491894,108.4587561224,2,2, TEG
53,105.4587561224,112.87499035219999,3,2, TEG
54,109.87499035219999,113.65902873819999,3,3, TEG
56,110.65902873819999,116.4588449021,2,3, TEG
57,113.4588449021,121.5953046944,1,3, TEG
60,118.5953046944,123.13124632680001,2,4, TEG
65,122.8990377065,126.83512231200001,1,1,NEC
66,123.83512231200001,129.2110633852,1,2,NEC
73,132.4190757503,137.2270574467,3,2, TEG
74,134.2270574467,146.2268194303,2,2, TEG
77,143.2268194303,157.6306751222,2,1, TEG
81,154.6306751222,158.4190479813,2,3, TEG
87,158.2749748761,163.6829179914,2,3,NEC
90,160.6829179914,167.1627967683,3,2,NEC
92,164.1627967683,171.5632307739,2,1,NEC
95,169.3152627325,183.3068267049,3,3, TEG
101,180.3068267049,183.94711369060002,2,4, TEG
102,180.94711369060002,198.03513516630002,3,4, TEG
107,241.011298818,251.77083088930002,2,2,NEC
112,248.77083088930002,254.962695367,3,2,NEC
119,264.21063593580004,283.7699605947,2,1, TEG
121,280.7699605947,299.5225808207,2,3, TEG
123,296.5225808207,304.651012698,3,3, TEG
125,301.651012698,312.154800211,2,4, TEG
128,316.3468336533,340.6581157521,2,1,NEC
133,337.6581157521,343.88299574949997,1,3,NEC
143,343.8829965495,348.1868872042,1,3,NEC
145,345.1868872042,360.3547447568,2,3,NEC
149,358.179359885,366.9311425845,3,2, TEG
154,373.4906559603,378.3066054398,3,2, TEG
157,375.3066054398,380.3432305494,3,3, TEG
161,378.39927235809995,383.97513178360003,1,2,NEC
168,384.8630041089,394.3346855405,2,1, TEG
169,391.3346855405,401.098958825,3,2, TEG
178,399.55487919160004,405.4107247435,2,3,NEC
181,402.979224664,412.58693654589996,1,2, TEG
184,409.58693654589996,416.3548305445,2,2, TEG
185,413.3548305445,421.57912982650004,2,3, TEG
186,418.57912982650004,422.5792325619,3,4, TEG
187,419.5792325619,427.4590377584,2,4, TEG
190,449.9940973493,458.9138992243,3,4, TEG
194,455.9138992243,461.8990912074,2,4, TEG
199,459.9149588344,468.4987181381,3,1,NEC
204,465.4987181381,474.53908195540004,1,2,NEC
206,471.53908195540004,483.3873289121,1,3,NEC
211,480.3873289121,492.4829886598,2,2,NEC
214,489.4829886598,497.4591817893,3,2,NEC
219,495.5872390772,500.96300892089994,2,1, TEG
225,499.0670125814,503.0989387313,3,3,NEC
227,500.0989387313,513.8506409687001,2,3,NEC
230,536.4100725377,546.3538384651,2,1, TEG
234,543.3538384651,549.9389907441999,1,3, TEG
238,567.7861542983001,573.3940267463,1,3, TEG
240,570.3940267463,578.1388743055,2,4, TEG
241,575.1388743055,589.2744942244,3,4, TEG
244,590.6029010384,595.6988340207,3,4, TEG
246,592.6988340207,598.5467426308,3,3, TEG
247,595.5467426308,602.0186808925,2,3, TEG
248,599.0186808925,617.2185668535,1,3, TEG
249,614.2185668535,621.0749102599,2,2, TEG
250,618.0749102599,624.2988498155,1,3, TEG
251,621.2988498155,636.5306551499,2,1, TEG
255,636.5306559498999,642.490953183,2,1, TEG
256,639.490953183,646.490782167,3,3, TEG
264,645.746976165,652.5788898108999,2,1,NEC
268,649.5788898108999,653.2588320680001,3,2,NEC
269,650.2588320680001,658.3873223093,2,2,NEC
271,655.3873223093,665.2830415054,1,2,NEC
274,662.2830415054,669.5309103101999,2,2,NEC
277,666.5309103101999,680.6512602834,3,3,NEC
281,701.2110947985001,712.3387521583,3,3,NEC
285,709.3387521583,717.4346759139,2,4,NEC
287,723.6987857756,734.7464520179,3,1, TEG
291,731.7464520179,736.5790555465,3,2, TEG
292,733.5790555465,738.8510096872,2,2, TEG
293,735.8510096872,745.2667049857,1,2, TEG
294,742.2667049857,753.8988247058,1,3, TEG
295,750.8988247058,757.1950958746,1,4, TEG
298,833.2983592992999,841.9300843756,1,4, TEG
302,838.9300843756,853.3148535258999,2,4, TEG
305,869.1386036524001,877.9463643465,1,4, TEG
308,874.9463643465,878.9833717560001,2,4, TEG
309,875.9833717560001,880.9752574247,2,3, TEG
310,877.9752574247,886.0231223255,3,3, TEG
311,883.0231223255,897.4786722632001,3,4, TEG
313,894.4786722632001,904.0508687093,3,3, TEG
314,901.0508687093,905.6588579046,2,3, TEG
315,902.6588579046,908.0988846239,2,4, TEG
323,920.6272413107001,941.2745541767999,2,1,NEC
326,938.2745541767999,942.8470485358,2,3,NEC
330,941.8869693155,949.2867560098,2,2, TEG
331,946.2867560098,952.0866230262,1,3, TEG
332,949.0866230262,954.5873832706,1,2, TEG
333,951.5873832706,957.9472025056,2,2, TEG
334,954.9472025056,963.0189610491001,3,2, TEG
336,960.0189610491001,965.1473092025,3,3, TEG
345,971.4348659806,992.0988883691,1,2,NEC
